vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Chớp,Laliêiq,laliêiq,,,,Bru.txt
Chớp mắt,Kabéh,kabéh,,,,Bru.txt
Chợp mắt,Ralíh mơat,ralíh mơat,,,,Bru.txt
Chú,Anhi,A-nhỉ,,,,Bru.txt
Chủ làng,"ariêi vil, Sốt vil","ariêi vil, sốt vil",,,,Bru.txt
Chủ nhât,Tangái katâm ko,Ta-ngay ca-tâm co,,,,Bru.txt
Chủ tịch nước,Sốt ncháu kuruang,sốt ncháu kuruang,,,,Bru.txt
"Chủ,Người đứng đầu",Sốt,sốt,,,,Bru.txt
Chua,"Nhnhăq, nhăq","nhnhăq, nhăq",,,,Bru.txt
Chùa,Vơat,vơat,,,,Bru.txt
Chuẩn bị,Taro doq (krĩam do),Ta-ro đọ (ca-riam đọ),,,,Bru.txt
Chuẩn bị,Taro táq,taro táq,,,,Bru.txt
Chúc,Kubánh,kubánh,,,,Bru.txt
Chục chẵn,Dochứt,dochứt,,,,Bru.txt
Chui,"Mut, luaiq","mut, luaiq",,,,Bru.txt
Chùi,"Akil, chuih, chut","akil, chuih, chut",,,,Bru.txt
Chui ra,Chũr lơăh,chũr lơăh,,,,Bru.txt
Chùm (quả),Tangkóq,tangkóq,,,,Bru.txt
Chúm môi,Kunhỗiq,kunhỗiq,,,,Bru.txt
Chum nhỏ,Kudốm,kudốm,,,,Bru.txt
Chum to,Lu,lu,,,,Bru.txt
Chung,Parnơi,parnơi,,,,Bru.txt
Chùng,Tuar,tuar,,,,Bru.txt
Chúng em,Mũ héq,Mu hế-q,,,,Bru.txt
Chúng em,Hếq sễm,Hê-q xêm,,,,Bru.txt
Chung một,Parchứm muôi,parchứm muôi,,,,Bru.txt
"Chúng nó,  Họ, người ta",Alới,alới,,,,Bru.txt
Chúng ta,Hái,Hay,,,,Bru.txt
Chúng ta,Mũ hái,Mu hay,,,,Bru.txt
Chúng tôi,Hếq,hếq,,,,Bru.txt
Chung về,Parchứm,parchứm,,,,Bru.txt
Chuối,Priat,Priat,,,,Bru.txt
Chuôi (dao),"Tong, kaséh","tong, kaséh",,,,Bru.txt
Chuối rừng,Kado,kado,,,,Bru.txt
Chuồn chuồn,Táng atứr,táng atứr,,,,Bru.txt
Chuông,Kandếng,kandếng,,,,Bru.txt
Chuồng gà,Kuaiq ntruôi,kuaiq ntruôi,,,,Bru.txt
Chuồng gia súc,Kuaq mantán,kuaq mantán,,,,Bru.txt
Chuồng lợn,Kuaiq alik,kuaiq alik,,,,Bru.txt
Chuồng trại,Kuaq,Cọaq,,,,Bru.txt
Chuột,Kunái,kunái,,,,Bru.txt
Chuột chù,Kluôi,kluôi,,,,Bru.txt
Chụp bóng,Kôp palái,Côp pa-ỉây,,,,Bru.txt
Chút (con chắt),"Cho, chát","cho, chát",,,,Bru.txt
Chút xíu thôi,Mahỗi sâng,Ma-hôỉ xâng,,,,Bru.txt
Chuyện cổ tích,Nsũar pưn,nsũar pưn,,,,Bru.txt
Chữ,"Saráq, chữq","saráq, chữq",,,,Bru.txt
Chữ viết,Chĩk saráq,chĩk saráq,,,,Bru.txt
Chưa,"Tỡ yũah, yũah","tỡ yũah, yũah",,,,Bru.txt
Chưa,Yũah,Doa-h,,,,Bru.txt
Chửa (người),"Taniêm, u-ỡt","taniêm, u-ỡt",,,,Bru.txt
Chửa (vật),Parsễ,parsễ,,,,Bru.txt
Chữa bệnh,Palai mprỡih,Pa-ỉaì âm-prơih,,,,Bru.txt
Chữa bệnh,Palai,palai,,,,Bru.txt
Chưa hiểu,Yũah dáng,Doa-h đăng,,,,Bru.txt
Chưa hiểu,Tỡ yũah dáng,Tơ gỉua-h ẩăng,,,,Bru.txt
Chừa ra,Doq lơah,doq lơah,,,,Bru.txt
Chưa tiến bộ,Yũah kartuôn achỗn,Doa-h car-tuôn a-chôn,,,,Bru.txt
"Chương trìn,  Kế hoạch",Kansái ranáq,kansái ranáq,,,,Bru.txt
Da,Ngkâr,ngkâr,,,,Bru.txt
Dạ dày,ỗq,ỗq,,,,Bru.txt
"Dạ, vâng",ơq,Ợ,,,,Bru.txt
Dai,Sarnhang,sarnhang,,,,Bru.txt
Dài,"Kuti, tuang","kuti, tuang",,,,Bru.txt
"Dại,  Ngu","Sakũl, ku-ớp","sakũl, ku-ớp",,,,Bru.txt
Dáng người,Riang kũai,Riang coaì,,,,Bru.txt
Danh lam thắng cảnh,Ntôq pong nêuq,An-tôq pong nệuq,,,,Bru.txt
Dao,Achũ,achũ,,,,Bru.txt
Dày,"Kubán, ntĩp","kubán, ntĩp",,,,Bru.txt
Dày,Kubớn,kubớn,,,,Bru.txt
Dạy,Ariên,A-rỉên,,,,Bru.txt
Dạy,"Ariên, atỡng","ariên, atỡng",,,,Bru.txt
Dạy bảo,Ariên atỡng,A-rỉên a-tơng,,,,Bru.txt
Dạy chữ,Ariên chữq,A-rỉên chựq,,,,Bru.txt
Dặm (gùi),Klam,klam,,,,Bru.txt
Dặm (hàng rào,Chiar,chiar,,,,Bru.txt
"Dặm (phên, lúa)",Kláp,kláp,,,,Bru.txt
Dặn,Patâp,Pa-tâp,,,,Bru.txt
Dằn xuống,Atáih rêng,atáih rêng,,,,Bru.txt
Dậm (chân),Santrúh,santrúh,,,,Bru.txt
Dầm mình,Rơam,rơam,,,,Bru.txt
Dân bản,Kũai dống vil,Coaỉ đông vil,,,,Bru.txt
Dân bản,Dống vil,dống vil,,,,Bru.txt
Dân tộc,Sâu kủai,Xâu coaỉ,,,,Bru.txt
Dần tộc,Sâu kũai,Xâu coai,,,,Bru.txt
Dâng (nước),Klưn,klưn,,,,Bru.txt
Dập tắt,Pupát,pupát,,,,Bru.txt
Dầu,Tơâu,tơâu,,,,Bru.txt
Dâu (cây),Muan,muan,,,,Bru.txt
Dấu (dắt),Tếk,Tếc,,,,Bru.txt
Dấu diếm (nói),Kakéq kako,kakéq kako,,,,Bru.txt
Dấu vết,"Lứm, parluan","lứm, parluan",,,,Bru.txt
Dậy buộc trâu,Niêt kriau,niêt kriau,,,,Bru.txt
Dây cung,Parlo,parlo,,,,Bru.txt
Dây rừng,Samữ,samữ,,,,Bru.txt
Dây thừng,Panũar,panũar,,,,Bru.txt
Đen,Kũm,cum,Ễng ralương chốq mơaq tâng ayơăh Sanún tâmpắk mansễm Brũ Vân Kiều la ễng ralưong kũm.,Êng ra-ỉương chẳq mảq tâng a-dăh Xà-Nùn tâm-pắc mãn-sem Brũ Vân Kỉều ỉà eng ra-ỉương cum.,Màu sắc chủ yếu của chiếc áo Xà-Nùn trang phục phụ nữ Brũ Vân Kiều là màu xanh đen.,Bru.txt
Dép,Kỡp,Cơp,,,,Bru.txt
Dép,"Yêp, kỡp","yêp, kỡp",,,,Bru.txt
Dép lê,Kỡp hor têt,Cơp ho-r têt,,,,Bru.txt
Dép quai hâu,Kỡp kansái savar,Cơp ca-xay xa-var,,,,Bru.txt
Dẹt,Sapễp,sapễp,,,,Bru.txt
Dê,Mbềq,Am-bẹq,,,,Bru.txt
Dê,Mbễq,mbễq,,,,Bru.txt
dê,"Parprê, mbễq","parprê, mbễq",,,,Bru.txt
Dễ,Khễ,Khe,,,,Bru.txt
Dễ,"Iên, khễ","iên, khễ",,,,Bru.txt
Dễ dàng,Khễ khán,khễ khán,,,,Bru.txt
Dễ nhận ra,Dáng chái,dáng chái,,,,Bru.txt
Dễ thương,"Nêuq, yok ayơoq","nêuq, yok ayơoq",,,,Bru.txt
Dệt,Tutanh prê,tutanh prê,,,,Bru.txt
Dệt thổ cầm,Tanh prê,Tanh pre,,,,Bru.txt
Dệt thổ cẩm,Tanh prê bữm,Tanh pre bưm,,,,Bru.txt
Dệt vải,Tanh prê,tanh prê,,,,Bru.txt
Dị đoan,Tỡ lứq,tỡ lứq,,,,Bru.txt
Di tích,Tếk pưn phễn,Tec pừn phen,,,,Bru.txt
Dịch (bệnh),ỗn,ỗn,,,,Bru.txt
Dịch (lại),Sĩk sĩk,sĩk sĩk,,,,Bru.txt
Dịch bệnh,Mprơih mprơăn,Am-prơih Ẳm-prăn,,,,Bru.txt
Dịch tả,Sanỗq,sanỗq,,,,Bru.txt
Dịch tiếng,Parlong,parlong,,,,Bru.txt
Diệt,Kachĩt,Ca-chit,,,,Bru.txt
Diều (gà),Pliêm,pliêm,,,,Bru.txt
Diều hâu,Kalang karứk,kalang karứk,,,,Bru.txt
Dìm,"Dếk, pik","dếk, pik",,,,Bru.txt
Dĩn ?,Anhui ?,anhui ?,,,,Bru.txt
Do,Kỗ,kỗ,,,,Bru.txt
Dò theo lưới,Poiq aliêiq,poiq aliêiq,,,,Bru.txt
"Dọ,  Đe dọa",Hám,hám,,,,Bru.txt
Dọc theo,Mpễr,mpễr,,,,Bru.txt
Dọn (dẹp),Ramơat rasa,Ra-mơat ra-xa,,,,Bru.txt
Dọn dẹp,Ramơat,Ra-mặt,,,,Bru.txt
Dọn đi,"Yẩm, ramơat","yẩm, ramơat",,,,Bru.txt
Dọn rẫy,Yaram,yaram,,,,Bru.txt
Dong riềng,Pơong  tới,pơong  tới,,,,Bru.txt
Dốc đứng,Leh lứk,leh lứk,,,,Bru.txt
Dốc Mở (gói),Leh,leh,,,,Bru.txt
Dồi (lợn),Tôi,tôi,,,,Bru.txt
Dội (nước),"Sarak, rơoh","sarak, rơoh",,,,Bru.txt
Dồn ép,Nơân viq,nơân viq,,,,Bru.txt
"Dồng bào, nhân dân",Prơai bau,prơai bau,,,,Bru.txt
Dơ bẩn,Nhơp,Nhơp,,,,Bru.txt
Dở dang,Katơn,katơn,,,,Bru.txt
Dở hơi,Kulĩr,kulĩr,,,,Bru.txt
Dơi (nhỏ),Asĩaq,asĩaq,,,,Bru.txt
Dơi to,Ayiêl,ayiêl,,,,Bru.txt
Dụ (voi),Phớk,phớk,,,,Bru.txt
Dù sao,Lứq nnắq,lứq nnắq,,,,Bru.txt
Dúi,Kupi,kupi,,,,Bru.txt
Dùi (dt),Sarlươk,sarlươk,,,,Bru.txt
Dùi (đgt),Thau,thau,,,,Bru.txt
Dũng cảm,Karianh klăq,Ca-rianh cơ-laq,,,,Bru.txt
Duỗi ra,Anơang,anơang,,,,Bru.txt
Duyên dáng,Nêuq nia,Nệu nia,,,,Bru.txt
Dữ (thú),Nhôp,nhôp,,,,Bru.txt
Dử mắt,Ayéh,ayéh,,,,Bru.txt
Dưa,Kễl,kễl,,,,Bru.txt
Dừa,La-ũ,la-ũ,,,,Bru.txt
Dứa,Chữơq,chữơq,,,,Bru.txt
Dứa dại,"Parchak, chiêiq dỡq","parchak, chiêiq dỡq",,,,Bru.txt
Dưa leo,Kễl pơar,keỉ pơar,,,,Bru.txt
"Dựa vào,  Nhờ",Kapua,kapua,,,,Bru.txt
"Dựa vào, vận dụng",Kapua kamkêng,kapua kamkêng,,,,Bru.txt
Dựng,Patứng,patứng,,,,Bru.txt
Dừng lại,Tangứt,tangứt,,,,Bru.txt
Dưới,Pưn,pưn,,,,Bru.txt
Dưới,"Pưn, nhưp","pưn, nhưp",,,,Bru.txt
Dưới nhà,Pưn kurũm,pưn kurũm,,,,Bru.txt
Dứt đứt,Arắq ta-ăh,arắq ta-ăh,,,,Bru.txt
Đã,"Khoiq, chơ","khoiq, chơ",,,,Bru.txt
Đá,Tamáu,Ta-mau,,,,Bru.txt
Đá (đgt),"Chơăh, kachíh, tân","chơăh, kachíh, tân",,,,Bru.txt
Đá bóng,Chơăh bàng,Chẵh băng,,,,Bru.txt
Đá bóng,Tân palái,Tân pa-ỉaỵ,,,,Bru.txt
Đá cầu,Sarơngpalái pamul,Xa-rơng pa-lây par-nul,,,,Bru.txt
Đã có gia đình,Kỡt dống,kỡt dống,,,,Bru.txt
"Đa, Si (cây)",Sari,sari,,,,Bru.txt
Đái,"Saráu, klũm","saráu, klũm",,,,Bru.txt
Đám (rẫy),"Tớm, liang","tớm, liang",,,,Bru.txt
Đám khơi,Kỗi,kỗi,,,,Bru.txt
Đám rước dâu,Pang rakơâiq,Pang ra-cậy-q,,,,Bru.txt
Đan,Tatanh,tatanh,,,,Bru.txt
Đạn,"Kon saniat, dan","kon saniat, dan",,,,Bru.txt
Đàn ông,"Samiang, kũnh","samiang, kũnh",,,,Bru.txt
Đang,Ntôm,An-tôm,,,,Bru.txt
Đang,"Ntôm, tôm","ntôm, tôm",,,,Bru.txt
Đang làm,Ntôm táq,Ẫn-tôm tả-q,,,,Bru.txt
Đáng nhớ,Doq sayữ ník,Đọq xa-dư nỉc,,,,Bru.txt
Đáng nhớ,Karái sayữ (doq sayữ ),Ca-ray xa-dư (đọq xa-dư),,,,Bru.txt
Đãng trí,Dốq khlĩr,dốq khlĩr,,,,Bru.txt
Đánh,Achuih,A-chui-h,,,,Bru.txt
Đánh,Tơânh,Tênh,,,,Bru.txt
Đánh (đàn),Tapáih,tapáih,,,,Bru.txt
Đánh (phá),Talốh,talốh,,,,Bru.txt
Đánh (tranh),"Cham, prới, prơâi","cham, prới, prơâi",,,,Bru.txt
Đánh bạc,Radéng,Ra-đèng,,,,Bru.txt
Đánh bắt,Táq kỗp,táq kỗp,,,,Bru.txt
Đánh đấm,"Chơm, táq tếk","chơm, táq tếk",,,,Bru.txt
Đánh giá,Savál kia,Xa-vă-l kia,,,,Bru.txt
Đánh giặc,Chứl chơak,Chứl chặc,,,,Bru.txt
Đánh nhau,Ratơânh,Ra-tânh,,,,Bru.txt
Đánh Pháp,Chứl Tới,chứl tới,,,,Bru.txt
Đánh thắng,Chứl riap,chứl riap,,,,Bru.txt
Đánh thức,Amơaih,amơaih,,,,Bru.txt
"Đánh, gõ","Tapáih, kôq","Ta-pảìh, cộq",,,,Bru.txt
Đào,Píq,píq,,,,Bru.txt
Đào tạo nghề,Ariên ranáq atĩ,A-riên ra-nảq a-ti,,,,Bru.txt
Đào xuyên qua,Píq kưr,píq kưr,,,,Bru.txt
Đạp,Tĩn,tĩn,,,,Bru.txt
Đáp ứng,Pĩêiq chua,pĩêiq chua,,,,Bru.txt
Đau,A-ĩ,A-ỉ,,,,Bru.txt
Đau,Sâng a-ĩ,sâng a-ĩ,,,,Bru.txt
Đau bụng,A-ĩ púng,A-ĩ pùng,,,,Bru.txt
Đau dạ dày,A-ĩ ỗq,A-i ộq,,,,Bru.txt
Đau đầu,A-ĩ plờ,A-i pờ-ỉơ,,,,Bru.txt
Đau đầu,a-ĩ plỡ,a-ĩ plỡ,,,,Bru.txt
Đau họng,A-ĩ arơoq,A-ỉ a-rỏq,,,,Bru.txt
Đau mắt,A-ĩ mơat,A-i mắt,,,,Bru.txt
Đau nhức,A-ĩ tantuôr,A-i tân-tuôr,,,,Bru.txt
Đau ốm,A-ĩ takóh,a-ĩ takóh,,,,Bru.txt
Đau tai,a-ĩ kutũr,a-ĩ kutũr,,,,Bru.txt
Đau tim,a-ĩ kơâl pahỡm,a-ĩ kơâl pahỡm,,,,Bru.txt
Đặc,Kadếk,kadếk,,,,Bru.txt
Đăkrông,Dakróng,dakróng,,,,Bru.txt
Đằm (bùn),Liak,liak,,,,Bru.txt
Đắng,Ntáng,ntáng,,,,Bru.txt
Đằng hắng,Kahĩam,kahĩam,,,,Bru.txt
Đằng sau,Klĩ,klĩ,,,,Bru.txt
Đắp,Puoon,puoon,,,,Bru.txt
Đắp (chăn),"Ngkuam, kuan","ngkuam, kuan",,,,Bru.txt
Đắp (đất),"Pơân, puôn","pơân, puôn",,,,Bru.txt
Đặt,Achúh,A-chủ-h,Kỗ yuaq mu hếq achúh lơah yỗn o,Cô dọct-q mu hể-q a-chủ-h ỉá-h dôn o,Bởi vì chúng tớ đặt lại cho đẹp,Bru.txt
Đặt tên,Amứh ramứh,A-mứh ra-mứh,Pamăh kakớt amứh ramứh la pamắh,Par-năh ca-cật a-mứh ra-mứh ỉa par-năh.,Chiêng nhỏ tên gọi là chiêng.,Bru.txt
Đặt tên,Amứh,amứh,,,,Bru.txt
"Đặt, để","Achúh, doq","A-chủh, đọq",,,,Bru.txt
Đấm,Chơok,chơok,,,,Bru.txt
Đâm nhau,Rachơat,rachơat,,,,Bru.txt
Đần,A-ỡu,a-ỡu,,,,Bru.txt
Đập,"Púh, kôq","púh, kôq",,,,Bru.txt
Đập (đất),Kôq,kôq,,,,Bru.txt
Đập (nước),Tampơân,tampơân,,,,Bru.txt
Đất,Kutễq,kutễq,,,,Bru.txt
Đât bạc màu,Kutễq sĩah phốn,Cù-tẹq sỉah phùn,,,,Bru.txt
Đất bùn,Lúq,lúq,,,,Bru.txt
Đất đai,Kutễq ku-ễ,Cu-tẹq cu-e,,,,Bru.txt
Đất đỏ,Kutễq kusáu,Cu-tẹq cù-xau,,,,Bru.txt
Đất nước,Kuruang kutễq,kuruang kutễq,,,,Bru.txt
Đất sét,Kutễq diêuq,kutễq diêuq,,,,Bru.txt
Đất tơi xốp,Kutễq la-ốh,Ku-tẹq ỉa-ôh,,,,Bru.txt
Đất thấp,Kutễq tadớp,kutễq tadớp,,,,Bru.txt
Đâu,Léq,Lẻ-q,Dống sễm ỡt bon léq?,Đông xem ơt bon lẻ-q ?,Nhà em ở đâu?,Bru.txt
Đâu,Nléq,Ân-ỉẻ-q,,,,Bru.txt
Đâu,Satong,Sa-tong,,,,Bru.txt
Đầu,Plõ’,Pờ-lơ,,,,Bru.txt
Đẩu,Plỡ,Pờ-ỉơ,,,,Bru.txt
Đầu bản,Ramăh vil,ramăh vil,,,,Bru.txt
Đầu gối,Rakớl,rakớl,,,,Bru.txt
Đậu mùa,Arứh,arứh,,,,Bru.txt
Đầu mút,Pứp,pứp,,,,Bru.txt
Đâu Nào (đây),"Léq, nléq","léq, nléq",,,,Bru.txt
Đầu nguồn,"Ahóq, avial, abók","ahóq, avial, abók",,,,Bru.txt
Đầu nguồn,Avial tũm,avial tũm,,,,Bru.txt
Đậu ván,Partĩk,partĩk,,,,Bru.txt
Đậu xuống,Pók,pók,,,,Bru.txt
Đầy,"Pơânh, blík","pơânh, blík",,,,Bru.txt
Đẩy,"Kutớl, klũt","kutớl, klũt",,,,Bru.txt
Đậy,"Kătps, katáih, katrúq","kătps, katáih, katrúq",,,,Bru.txt
Đầy đủ,Túk khám,túk khám,,,,Bru.txt
"Đầy đủ, Đủ","Khám, dũ, túk","khám, dũ, túk",,,,Bru.txt
Đây là,Nnái,nnái,,,,Bru.txt
"Đấy, đó",K1,Kỉ,,,,Bru.txt
"Đây, này",Nái,Nay,,,,Bru.txt
Đè,"Amớt, katát","amớt, katát",,,,Bru.txt
Đẻ (người),"Rôiq, pháiq, sễt","rôiq, pháiq, sễt",,,,Bru.txt
Đẻ (vật),"Sarống, táq rơah","sarống, táq rơah",,,,Bru.txt
Đẻ con,Sễt,sễt,,,,Bru.txt
Đe cho,Doq yỗn,Đọq dôn,,,,Bru.txt
Đẻ ra,Sễt lơăh,sễt lơăh,,,,Bru.txt
Đẻ trứng,Chếh tarềl,Chếh ta-reỉ,,,,Bru.txt
Đem đi đốt,Dững bốh,Dưng boh,,,,Bru.txt
Đèn,Chúp tơâu,chúp tơâu,,,,Bru.txt
Đẹn truồng,Tơâq đống ariên,Tâq đông a-riên,,,,Bru.txt
Đeo,Ngkuak,Ầng-coac,,,,Bru.txt
Đeo,"Klễu, kuak, pơak","klễu, kuak, pơak",,,,Bru.txt
Đẽo,Cháng,cháng,,,,Bru.txt
Đẹp,O,O,,,,Bru.txt
Đẹp trai,Nêng tatơam,nêng tatơam,,,,Bru.txt
Đẹp trai,Tatơam o riang,tatơam o riang,,,,Bru.txt
Để,Doq,Đọ-q,,,,Bru.txt
Để cho,Doq yỗn,doq yỗn,,,,Bru.txt
Để dùng,Doq tắk,Đọq tấc,,,,Bru.txt
Đế quốc lớn,Chơak put,chơak put,,,,Bru.txt
Đêm,Sadớu,Xa-đâu,,,,Bru.txt
đêm,"Sidớu, sadớu","sidớu, sadớu",,,,Bru.txt
Đếm,"Nơap, ngih","nơap, ngih",,,,Bru.txt
Đếm,Nơap,Nặp,,,,Bru.txt
Đến,Tơàq,Tâ-q,,,,Bru.txt
Đến,Tơâq,Tâ-q,,,,Bru.txt
Đến nơi,"Tơâp, tơâp bon","tơâp, tơâp bon",,,,Bru.txt
Đên phiên,Tơâq ngư,Tâ-q ngư,,,,Bru.txt
Đến rủ,"Yaroih, rayoih","yaroih, rayoih",,,,Bru.txt
Đền thờ,Rakụ sang,Ra-cu xang,,,,Bru.txt
Đến vụ,Tơâp saro,tơâp saro,,,,Bru.txt
Đều đặn,Li mantái,li mantái,,,,Bru.txt
Đi,Pỡq,Pợ-q,,,,Bru.txt
Đi bộ,Pỡq ayững,Pợ-q a-dưng,,,,Bru.txt
Đi Công tác,Pỡq ranáq rapúk,Pợq ra-nảq ra-púc,,,,Bru.txt
Đi công tác,Ranáq pơâl,ranáq pơâl,,,,Bru.txt
Đi chợ,Lơăh dỗng,lơăh dỗng,,,,Bru.txt
Đi chợ,Pỡq lơăh dỗng,pỡq lơăh dỗng,,,,Bru.txt
Đi chơi,Pỡq lơiq,pỡq lơiq,,,,Bru.txt
"Đi dạo ,Bước",Tayáh,tayáh,,,,Bru.txt
Đi dạy,Pỡq ariên saráq,Pợq a-rỉên xa-rảq,,,,Bru.txt
Đi du lịch,p ỡq lulơiq bon nêuq,Pợq ỉu-ỉợỉq bon nệuq,,,,Bru.txt
Đi học,Pỡq riên,Pợq riên,,,,Bru.txt
Đi học,Pỡq riên saráq,Pợq riên xa-rảq,,,,Bru.txt
Đi làm,Pỡq tutáq,pỡq tutáq,,,,Bru.txt
Đi rẫy,Pỡq chu sarái,pỡq chu sarái,,,,Bru.txt
Đi săn,Pỡq rurơăh,pỡq rurơăh,,,,Bru.txt
Đi thăm,Pỡq klo' nhêng,Pợq cơ-ỉơ nhêng,,,,Bru.txt
Đi trễ (đi muộn),Tơâq saliaq,Tơâ-q xa-lia-q,,,,Bru.txt
Đi!,Chíq,chíq,,,,Bru.txt
Đĩa,Savan,savan,,,,Bru.txt
Địa vị cao,Táq put,táq put,,,,Bru.txt
Địch bắt,Chơak kỗp,chơak kỗp,,,,Bru.txt
Điếc,Túng,túng,,,,Bru.txt
Điểm,Ảk kia riên,Ac kỉa rỉên,,,,Bru.txt
Điềm báo,Parliang,parliang,,,,Bru.txt
Điêm trung bình,Ãk li di ria,Ẫc li đi ria,,,,Bru.txt
Điên,Yúh,yúh,,,,Bru.txt
Điện,Diên,Điện,,,,Bru.txt
Điếu,Diêuq,diêuq,,,,Bru.txt
Điều hành,Tarĩ,tarĩ,,,,Bru.txt
Điều hành tốt,Tarĩ hũaiq,tarĩ hũaiq,,,,Bru.txt
Điếu thuốc,Bangli,bangli,,,,Bru.txt
Điều tri,Pũô palai,Pua pa-ỉaỉ,,,,Bru.txt
Đinh,Dếng,dếng,,,,Bru.txt
Định,Taro,taro,,,,Bru.txt
Định cư,Pin raku,pin raku,,,,Bru.txt
Định cư,Prên ralen,prên ralen,,,,Bru.txt
Đính thêm,Téh chơam,téh chơam,,,,Bru.txt
Đính vào,Téh,téh,,,,Bru.txt
Đo,"Satia, achơang, do","satia, achơang, do",,,,Bru.txt
Đỏ,Kusáu,kusáu,,,,Bru.txt
Đó,Ki,ki,,,,Bru.txt
Đó (dt),"Arơih, saru","arơih, saru",,,,Bru.txt
Đó là,Ngkíq ki,ngkíq ki,,,,Bru.txt
Đo lưu niệm,Krơng doq kia,Ca-rơng đọq kia,,,,Bru.txt
Đỏ ối,Kusáu ữr,kusáu ữr,,,,Bru.txt
Đỏ rực,Blữ ralưq,blữ ralưq,,,,Bru.txt
Đọ sồng,Krơng kláu,Ca-rơng cờ-ỉau,,,,Bru.txt
Đoác (cây),"Sakol, tavaq","sakol, tavaq",,,,Bru.txt
Đọc,Rơai ( Ruat; Ruaih ),Ray (Roat; Roaỉh ),,,,Bru.txt
Đọc,Rơai (Ruat;Ruaih ),Ray ( Roat;Roaỉ-h ),,,,Bru.txt
Đọc,"Plooh, rơai","plooh, rơai",,,,Bru.txt
Đói,Panhiêih,panhiêih,,,,Bru.txt
Đòi (ăn),Tơar,tơar,,,,Bru.txt
Đòi (nợ),Tom,tom,,,,Bru.txt
Đóm,"Sarễk, lễh","sarễk, lễh",,,,Bru.txt
Đom đóm,"Lúk kuliê, lúk kalươ","lúk kuliê, lúk kalươ",,,,Bru.txt
Đón,Kơâiq rơap,kơâiq rơap,,,,Bru.txt
Đón,"Krăq, kơâiq","krăq, kơâiq",,,,Bru.txt
Đòn gánh,"Tamprêk, tongprêk","tamprêk, tongprêk",,,,Bru.txt
Đón lấy,Rơap ĩt,rơap ĩt,,,,Bru.txt
Đòn nóc,"Pardỗl sỗp, asỗp","pardỗl sỗp, asỗp",,,,Bru.txt
Đòn sàn,Sangkáng,sangkáng,,,,Bru.txt
Đòn sạp,Prang,prang,,,,Bru.txt
Đòn tay,Raruaiq,raruaiq,,,,Bru.txt
Đong,Vơal,vơal,,,,Bru.txt
Đóng,Katáih,Ca-taỉ-h,,,,Bru.txt
"Đot, chồi non","Kổiq, kôiq nhuam","Cộìq, nhoam",,,,Bru.txt
Đổ,Tốh,tốh,,,,Bru.txt
Đồ ăn uống,Krơng cha chók,Ca-rơng cha chóc,,,,Bru.txt
Đồ chơi,Krơng ramán,krơng ramán,,,,Bru.txt
Đồ dùng,Krong krớu,Ca-rơng ca-râu,,,,Bru.txt
Đồ đạc,Krơng krớu,krơng krớu,,,,Bru.txt
Đỗ đạt,Pơon riên,pơon riên,,,,Bru.txt
Đồ lạnh,Krơng leng,Ca-rơng leng,,,,Bru.txt
Đổ nhựa,Tốh yang,tốh yang,,,,Bru.txt
Đổ ra,"Katơok, tốh alơăh","katơok, tốh alơăh",,,,Bru.txt
Đồ sộ,Chơqkrơq,chơqkrơq,,,,Bru.txt
Đồ xôi,Khlỗl,khlỗl,,,,Bru.txt
Đôi,"Săng, ku","săng, ku",,,,Bru.txt
Đồi,Dũal,dũal,,,,Bru.txt
Đổi,Lêq,lêq,,,,Bru.txt
Đội,Tapưng,tapưng,,,,Bru.txt
Đổi cho nhau,Ralêq,ralêq,,,,Bru.txt
Đổi mơi,Palớt tamái,Pa-lật ta-may,,,,Bru.txt
Đổi mới,Parlớt tamái,parlớt tamái,,,,Bru.txt
Đốn (cành),Kơoh,kơoh,,,,Bru.txt
Đốn cây,Tamư,tamư,,,,Bru.txt
Đồn công an,Láng raku kóng an,láng raku kóng an,,,,Bru.txt
Đồng,Sipơan,sipơan,,,,Bru.txt
Đống,Bốq,bốq,,,,Bru.txt
Đông (người),Klứng,klứng,,,,Bru.txt
Đồng bằng,Kuruang tapứn,kuruang tapứn,,,,Bru.txt
Đồng bóng,Mơâiq mư,mơâiq mư,,,,Bru.txt
Đồng dao,Santoiq karnễn,santoiq karnễn,,,,Bru.txt
Động lực,Kơâl rangứl,kơâl rangứl,,,,Bru.txt
Đông người,Klứng kũai,Cờ-lưng coai,,,,Bru.txt
Đồng phục,Tâmpàk mu rơâp,Tâm-pac mu rập,,,,Bru.txt
Đồng phục,Tampắk mu rơâp,tampắk mu rơâp,,,,Bru.txt
Đông tác,Sat rayơaih,Xat ra-dai-h,,,,Bru.txt
Động tranh,Kóh pláng,kóh pláng,,,,Bru.txt
Động viên,Achũôr pahỡm,A-chuôr pa-hơm,,,,Bru.txt
Đốt,"Chăng, tarăh","chăng, tarăh",,,,Bru.txt
Đốt lửa,Nhúq ũih,Nhủq uỉh,,,,Bru.txt
"Đốt ngón tay, Lóng",Plăng,plăng,,,,Bru.txt
Đốt rác,Bốh sanềk,Bôh xa-nẹc,,,,Bru.txt
Đốt rừng,Chàng sarứng,Chăng sa-rừng,,,,Bru.txt
Đợi,"Kuang, ngkuang apơan","kuang, ngkuang apơan",,,,Bru.txt
