vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Vỗ cánh,"Tutốh, pupắh khlap",tu tốh pu păh khơ lạp,,,,Bru.txt
Vô sinh,"Kũt, kadễng","cút, ca đễng",,,,Bru.txt
Vỗ tay,"Tambrỗp, tabrỗp","tăm bơ rốp, ta bơ rốp",,,,Bru.txt
Vôi,Kupũr,cu pũr,,,,Bru.txt
Vông,Păng,păng,,,,Bru.txt
Vơ,Kupôr,cu pôr,,,,Bru.txt
Vở,Chơâiq pachĩk,Chấi-q pa-chíc,,,,Bru.txt
Vỡ,"Pláh, pacháh","pláh, pa chạh",,,,Bru.txt
Vợ,Lakuôi,La-cuôi,,,,Bru.txt
Với cùng,Nững,nưng,,,,Bru.txt
Với lên,Tavok,ta vọc,,,,Bru.txt
Vợt,Anuak,a noạc,,,,Bru.txt
Vui,Bũi,Bui,,,,Bru.txt
Vui chơi,Lơiq bũi,Lợiq bui,,,,Bru.txt
"Vui chơi, giải trí",Lơiq lơ,Lợiq lơ,,,,Bru.txt
Vui mừng,Ỡnh chỡ,ơn chơ,,,,Bru.txt
Vui nhộn,Bũi óh,bui óh,,,,Bru.txt
Vui quá,Bũi lứq,bui lử,,,,Bru.txt
Vui tươi,Bui o,bui o,,,,Bru.txt
Vun xới,Puôn,Puôn,,,,Bru.txt
Vùng,Phong,phong,,,,Bru.txt
vũng nước,Dơq amống,Đợq a-mông,,,,Bru.txt
Vùng ra,Rayơaih,ra dáy,,,,Bru.txt
Vùng vẫy,"Rachũal, król","Rachũal, król",,,,Bru.txt
Vuông,Púng yiên,pùng diên,,,,Bru.txt
Vuốt (râu),"Sapũt, pũaiq",xa put poai,,,,Bru.txt
Vừa,Pasâm,Pa-xầm,,,,Bru.txt
Vừa đến,Mbỡiq tơâq,Ẳm-bởiq tâq,,,,Bru.txt
Vừa… vừa…,Tơnh... tơnh..,tơn tơn,,,,Bru.txt
Vực nước,Klóng,klóng,,,,Bru.txt
Vững vàng,Kơang mứt,cằng mứt,,,,Bru.txt
Vườn,Rô,Rồ,,,,Bru.txt
Vượn,Kũanh,cuan,,,,Bru.txt
Vườn cây,Rô aluang,Rô a-loang,,,,Bru.txt
Vườn đồi,Rô kutễq dũal,Rồ cu-tẹq đoal,,,,Bru.txt
Vươn lên,Sayóh achỗn,Sayóh achỗn,,,,Bru.txt
Vươn ngang tầm,Yuôr li,yuôr lì,,,,Bru.txt
Vườn nhà,Rô dống,rồ đôông,,,,Bru.txt
Vườn trồng trọt,Rô sarnóh,rồ sar nóh,,,,Bru.txt
Vươn vai,Ayiat abot,a díat a bọt,,,,Bru.txt
Vướng,kiang,kiang,,,,Bru.txt
Vượt khó,Kachian kơat,Ca-chian cặt,,,,Bru.txt
"Vượt, Lướt","Luat, pahĩat",luát pa híat,,,,Bru.txt
Vứt,"Apăng, tôi, vơang","apăng, tồi, vằng",,,,Bru.txt
Vứt rác,Tôi sanễk,Tôi xá-nẹc,,,,Bru.txt
Xa,Yơng,yờng,,,,Bru.txt
Xã,Sáq,Xảq,,,,Bru.txt
Xà beng,Sabễng,Xà beng,,,,Bru.txt
Xà dọc,Parang,pa rang,,,,Bru.txt
"Xã hội, công cộng",Rapúk,ra púk,,,,Bru.txt
Xà ngang,Tanơâp,ta nơâp,,,,Bru.txt
Xà phòng,Sabăng,xa băng,,,,Bru.txt
Xà rông,Pakhâu,pa khâu,,,,Bru.txt
Xà sàn,Pardỗi,par dỗi,,,,Bru.txt
Xách,"Ayễq, tayễl","a dệ, ta dệl",,,,Bru.txt
Xái (thuốc),Chi,chì,,,,Bru.txt
Xanh,"Kláu, ramơong","cơ láu, ra môông",,,,Bru.txt
Xanh biếc,Ramơong blih,ra môông bơ lị,,,,Bru.txt
Xanh đen,Ralương kũm,ra lương cum,,,,Bru.txt
Xanh nhạt,Prơang ramơong,pa rằng ra môông,,,,Bru.txt
Xanh tốt,Ramơong pahuô,Ra-mông pa-hua,,,,Bru.txt
Xát,"alĩ, atia","a lii, a tia",,,,Bru.txt
Xâm lược,Lôp,lồp,,,,Bru.txt
Xấn tamúk,Sớn tamúk,xân ta múc,,,,Bru.txt
Xấu,"Sâuq, tỡ o","xấu, tơ o",,,,Bru.txt
Xây dựng,Ayứng ayuôr,a dừng a yuôr,,,,Bru.txt
Xây đồn,Chóh dỗn,chóh đôôn,,,,Bru.txt
Xe,sễ,Xê,,,,Bru.txt
Xẻ,Sarễk,Sarễk,,,,Bru.txt
Xé,"Háq, chêk","hả, chêc",,,,Bru.txt
Xe đạp,Karvang pỡq,Kar-vang pợq,,,,Bru.txt
Xe máy,Karvang lúh,Car-vang lúh,,,,Bru.txt
Xe ô tô,Raku lúh,Ra-cu lúh,,,,Bru.txt
Xe tăng,Sễ táng,xe tăng,,,,Bru.txt
Xem,"Nhêng, (Salĩq)",Nhêng,,,,Bru.txt
Xén,Chĩêt,chiết,,,,Bru.txt
Xẻng,Sán,xăn,,,,Bru.txt
Xỉ mũi,Kasĩr,ca sir,,,,Bru.txt
Xiết (chảy),"Háp, kơar","hắp, căr",,,,Bru.txt
Xin,Sễq,xế,,,,Bru.txt
Xin rước dâu,sêq achu niang chám dong,Xẹq a-chu niang chăm đông,,,,Bru.txt
Xịt,Pát,pắt,,,,Bru.txt
Xỏa,Parai,Parai,,,,Bru.txt
Xoài,Pariêl,Pariêl,,,,Bru.txt
Xoài tượng,Tual,Toal,,,,Bru.txt
Xoan rừng,Kãim,ka im,,,,Bru.txt
Xoáy (nước),Sarviêl,Sarviêl,,,,Bru.txt
Xóc lên,"Kayốh, kayéh","Kayốh, kayéh",,,,Bru.txt
Xòe ra,Kutiang,cu tiang,,,,Bru.txt
Xói mòn,Sarơălì raliêi,Xa-răh ra-ỉiêi,,,,Bru.txt
Xong,Mơâm,Mẩm,,,,Bru.txt
Xót,Yarĩaq,ya ría,,,,Bru.txt
Xô,Kutớl,cu têl,,,,Bru.txt
Xông,Khóq,khỏ,,,,Bru.txt
Xốp,Sasỡl,xa xơl,,,,Bru.txt
Xơ dừa,"Sỗh, parnul","Sỗh, parnul",,,,Bru.txt
Xợt cỏ,Lơok bát,lôôc bắt,,,,Bru.txt
Xù lông,Parlỡ sỡ,Parlỡ sỡ,,,,Bru.txt
Xua,"Kasĩak, atũih","ca xíc, a tuih",,,,Bru.txt
Xuất sắc,Chiak lứq,Chia-k lử-q,,,,Bru.txt
Xúc cá,"Tuak, tatuak","toác, ta toác",,,,Bru.txt
Xung quanh vườn,Lavíng rô,la vìng rô,,,,Bru.txt
Xuôi,Atơoh,a tôôc,,,,Bru.txt
Xuyên,"Salốh, sapơang, sarlơâiq","xa lổ,xa pang, săr lấi",,,,Bru.txt
Xưa,"Arái, mbắq","a ray, ầm bơaq",,,,Bru.txt
Xương,Nghang,ầng haang,,,,Bru.txt
Ý chí,Rangứh sarnớm,ra ngứh săr nâm,,,,Bru.txt
Ý kiến,Santoiq,săn toi,,,,Bru.txt
Y sĩ,Mo plai kakớt,mo pa lai ca cớt,,,,Bru.txt
Yên bình,Lên ralíng,lên ra-linh,,,,Bru.txt
Yếu,"Iêuq, tuar rêng","Iêuq, tuar rêng",,,,Bru.txt
Yêu nhau,Ễ abữn,ễ a bưn,,,,Bru.txt
Yêu quý,Kiat ayơoq,kiat a dỏ,,,,Bru.txt
"Yêu, thích","Pahõm , samák","Pa-horn , xa-mắc",,,,Bru.txt
Chào,Bánh hỡ (tabỡp),Bánh - hơ (ta-bơp),Bánh hỡ Avia karu,Bánh hơ a-via cà -rù,Chúng em chào cô ạ!,Bru2.txt
Cảm ơn,Sa - ỡn,Xà-ơn,,,,Bru2.txt
Chào,Karlỡih (Tabỡp),Car-lơi-h  (ta-bơp),,,,Bru2.txt
Chiều,Ta bư,,Ta bư pở tả xa ray,,Chiều đi làm rẫy,Bru2.txt
Em,A-ễm,Ã - em,,,,Bru2.txt
Nhé (từ đệm),Nơ,,,,,Bru2.txt
Tất cả,Nhéq tữh  (ka tữh),Nhé-q tư -h,,,,Bru2.txt
Tên,Ra mứh,Ra-mứ-h,Kứq ramứh la Hong,Cứ-q ra-mứ-h la Hong,Tôi tên là Hông,Bru2.txt
Thầy giáo,Anhi karu,A-nhi cà rù,,,,Bru2.txt
Tôi,Kứq,Cứ-q,,,,Bru2.txt
Tuổi,Chô kumo,,,,,Bru2.txt
Quý mếm,Kiat pasếq,,,,,Bru2.txt
1 (Một),Muôi,muôi,Kứq kanỡt kumo 2001.,Cử-q ca-nơt cu-mo bar nghìn muôi,Em sinh năm 2001.,Bruh.txt
2 (Hai),Bar,bar,,,,Bruh.txt
3 (Ba),Pái,pay,Bữn pái chứt lapái náq.,Bưn pay chứt ỉa-pay nả-q,Có ba mươi ba bạn.,Bruh.txt
4 (Bốn),Pỗn,pôn,Kantóh muôi bữn Pỗnl náq.,Can-tó-h muôi bưn pôn nả-q.,Tổ một có tám bạn.,Bruh.txt
5 (Năm),Sỡng,xơng,Kứq sễm dốq tamỡ ralỗm sỡng yơ.,Cừ-q xem đổ-q ta-mơ ra-lôm xơng dờ,Em thường thức dậy lúc năm giờ.,Bruh.txt
6 (Sáu),Tapơât,ta pất,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét.,Xa khoảng 65 kilômét.,Bruh.txt
7 (Bảy),Tapul,Ta - pul,Yơng sâm 7 (Tapulchứt la-sỡng) kilô mễt,Dơng xâm ta-pul chứt la-xơng ki-lô-mét.,Xa khoảng 7 kilômét.,Bruh.txt
8 (Tám),Takual,Ta-coal,Kantóh muôi bữn takual náq.,Can-tó-h muôi bưn ta-coa-l nả-q.,Tổ một có tám bạn.,Bruh.txt
9 (Chín),Takêh,Ta-kê-h,Kứq sễm dốq pỡq bếq ralỗm takêh yơ,Cử-q xem độ-q pợ-q bể-q ra-lôm ta-kê-h dơ,Em thường đi ngủ lúc chín giờ,Bruh.txt
10,Mu chứt,Mù chứt,Kứq mu chứt labar chô kumo,Cư-q mu chưt ỉa-ba-r chô cu-mo,Em được mười hai tuổi,Bruh.txt
11,Mu chứt  lamuôi,Mù chứt  lamuôi,,,,Bruh.txt
12,Mu chứt labar,Mù chứt labar,Kứq mu chứt labar chô kumo,Cư-q mu chưt ỉa-ba-r chô cu-mo,Em được mười hai tuổi,Bruh.txt
13,Mu chứt lapai,Mù chứt lapay,,,,Bruh.txt
14,Mu chứt lapỗn,Mù chứt lapỗn,,,,Bruh.txt
15,Mu chứt lasỡng,Mù chứt laxỡng,Sanua nái muôi kilôgam ắk kuphê kháu bun chiaq lasỡng ngin praq,Xa-nua nay muối kilôgam ắc cu-phê cơ-lau bun chiaq la sỡng nghin cờ-rản,Hiện nay một kg hạt cà phê tươi có giá là năm nghìn đồng,Bruh.txt
16,Mu chứt Tapơât,Mù chứt Tapơât,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét.,Xa khoảng 65 kilômét,Bruh.txt
17,Mu chứt Tapul,Mù chứt Tapul,Tơâq tapul yơ tarưp nơ !,Tầq ta-puỉ giờ ta-rưp nơ Ị,Bảy giờ sáng nhé !,Bruh.txt
18,Mu chứt Takual,Mù chứt Takual,,,,Bruh.txt
19,Mu chứt Takêh,Mù chứt Takêh,,,,Bruh.txt
20 (Haỉ mươi),Bar chứt,Bar chứt,Plơah au ki kứq chếq 120.000 (Mu kulám bar chứt ngin) práq,Pờ-lảh ao kỉ cửq chểq mu cu-ỉãm bar chứt nghìn praq,Chiếc áo đó tôi bán 120.000 (Một trăm hai muoi nghìn) đồng,Bruh.txt
30,Pái chứt,Pái chứt,Bữn pái chứt lapái náq,Bưn pay chứt ỉa-pay nả-q,Có ba mươi ba bạn,Bruh.txt
40,Pỗn chứt,Pỗn chứt,,,,Bruh.txt
50,Sỡng chứt,Sỡng chứt,,,,Bruh.txt
60,Tapơât chứt,Tapơât chứt,Yơng sâm 65 (Tapơât chứt la-sỡng) kilô mễt,Dơng xâm ta-pất chứt la-xơng ki-lô-mét,Xa khoảng 65 kilômét,Bruh.txt
70,Tapul chứt,Tapul chứt,,,,Bruh.txt
80,Takual chứt,Takual chứt,,,,Bruh.txt
90,Takêh chứt,Takêh chứt,,,,Bruh.txt
100,Mu kulám,Mù kulám,Mu kulám bar chứt ngin,mu cu-ỉãm bar chứt nghìn,Một trăm hai muoi nghìn,Bruh.txt
101,Mu kulám mu,Mù kulám mu,,,,Bruh.txt
1001,Mu ngin muôi,Mù ngin muôi,,,,Bruh.txt
1100,Mu ngin mu kulám,Mù nghìn mu cu-lăm,,,,Bruh.txt
2001,Bar ngin muôi,Bar nghìn muôi,Kứq kanỡt kumo 2001,Cử-q ca-nơt cu-mo bar nghìn muôi,Em sinh năm 2001,Bruh.txt
1000000,Mu triễu,Mù triêu,,,,Bruh.txt
Ản măc,Tắk cha,Tấc cha,"Tabữ nái, mũ sễm tắk tễng krơng nnăq?","Ta-bư nay, mu xem tắc teng ca-rờng ân-nã-q ?","Chiều nay, các em ăn mặc như thế nào?",Bruh.txt
Anh hùng,Kũai karianh o,Coai ca-rian ò,Kũai karianh o Hồ Thị Đá,,Kũai karianh o Hồ Thị Đá,Bruh.txt
Anh hùng,Kũai karianh 0,Coai ca-rian ò,Kũai karianh 0,Coai ca-rianh 0,Anh hùng,Bruh.txt
Ao,Amống/,A mống/,"Mắq bữn máh klóng talĩng put khỗ riang klóng talĩng Sông ,klóng talĩng Kăk","mà bưn máh cờ-lóng ta-lỉngput khô riang cờ-ỉóng ta-lỉng Sung, cờ-lóng taỉỉng Cóc","Nhưng có các hồ lớn như hồ Sung , hồ Cóc",Bruh.txt
